Config ID,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
_8-32-24,0.41873847842216494,0.7966005682945252,7317,32.584,0.41873847842216494,0.4662199318408966,0.4173138737678528,0.4044850468635559,0.4123167395591736,0.7966005682945252,0.7422096133232117,0.8059490323066711,0.8201133012771606,0.7974504232406616
_8-32-32,0.39834682941436766,0.8053824424743652,8365,36.776,0.39834682941436766,0.44627025723457336,0.4461542069911957,0.3602478802204132,0.3821881115436554,0.8053824424743652,0.7648725509643555,0.7776203751564026,0.8300283551216125,0.8101983070373535
_8-32-64,0.3187530040740967,0.8730878233909607,12557,53.544,0.3187530040740967,0.346125066280365,0.3459016978740692,0.323079913854599,0.30688348412513733,0.8730878233909607,0.8512747883796692,0.8640226721763611,0.8810198307037354,0.876770555973053
_8-32-80,0.449205082654953,0.7461756348609925,14653,61.928,0.449205082654953,0.4612552225589752,0.47846803069114685,0.4497891664505005,0.4429902136325836,0.7461756348609925,0.7252124547958374,0.6912181377410889,0.7478753328323364,0.7719546556472778
_8-32-96,0.47875149846076964,0.7269121885299683,16749,70.312,0.47875149846076964,0.4983713626861572,0.5198097825050354,0.461196631193161,0.47842198610305786,0.7269121885299683,0.7223796248435974,0.7039660215377808,0.7379603385925293,0.7450425028800964
_8-32-128,0.4558218538761139,0.7549574971199036,20941,87.08,0.4558218538761139,0.47279176115989685,0.46146735548973083,0.46242114901542664,0.439792662858963,0.7549574971199036,0.7393767833709717,0.7266288995742798,0.7478753328323364,0.7832860946655273
_8-32-160,0.4502183020114899,0.7549574971199036,25133,103.848,0.4502183020114899,0.45830732583999634,0.43438223004341125,0.4694368541240692,0.4546433687210083,0.7549574971199036,0.7662889361381531,0.7592067718505859,0.720963180065155,0.7592067718505859
_8-64-32,0.49819111824035645,0.7181303024291992,16589,69.672,0.49819111824035645,0.5822306275367737,0.47926241159439087,0.5110266804695129,0.46909666061401367,0.7181303024291992,0.701133131980896,0.723796010017395,0.7252124547958374,0.7124645709991455
_8-64-64,0.2332832396030426,0.8968838572502136,24877,102.824,0.2332832396030426,0.34109634160995483,0.2598869502544403,0.22455444931983948,0.17799027264118195,0.8968838572502136,0.8385269045829773,0.8881019949913025,0.9036827087402344,0.9305949211120605
_8-64-80,0.23812978267669677,0.9067988634109497,29021,119.4,0.23812978267669677,0.30088919401168823,0.26696401834487915,0.2498522698879242,0.19861628115177155,0.9067988634109497,0.8725212216377258,0.9008498787879944,0.8951841592788696,0.9206798672676086
_8-64-96,0.283929181098938,0.8807365417480468,33165,135.976,0.283929181098938,0.36960461735725403,0.2966071367263794,0.2829817831516266,0.23435340821743011,0.8807365417480468,0.8130311369895935,0.8824362754821777,0.8781869411468506,0.9235127568244934
_8-64-128,0.487445467710495,0.745892345905304,41453,169.128,0.487445467710495,0.49190229177474976,0.5083075761795044,0.48076722025871277,0.47129952907562256,0.745892345905304,0.7266288995742798,0.7025495767593384,0.7393767833709717,0.7832860946655273
_8-64-160,0.19696123003959656,0.9237960457801819,49741,202.28,0.19696123003959656,0.2431400716304779,0.25641465187072754,0.20321819186210632,0.14781968295574188,0.9237960457801819,0.9093484282493591,0.8895184397697449,0.9178470373153687,0.9490085244178772
_8-80-64,0.31808191537857056,0.855240797996521,31037,127.464,0.31808191537857056,0.36092671751976013,0.33817315101623535,0.31131353974342346,0.30923181772232056,0.855240797996521,0.821529746055603,0.8526912331581116,0.8512747883796692,0.8583569526672363
_8-80-80,0.24611108601093293,0.8900849938392639,36205,148.136,0.24611108601093293,0.33614104986190796,0.22723953425884247,0.20345957577228546,0.22879844903945923,0.8900849938392639,0.8257790207862854,0.9008498787879944,0.919263482093811,0.9008498787879944
_8-80-96,0.21418518126010894,0.9161473035812377,41373,168.808,0.21418518126010894,0.3264361023902893,0.23546940088272095,0.23055021464824677,0.13732200860977173,0.9161473035812377,0.8597733974456787,0.9079319834709167,0.9164305925369263,0.9560906291007996
_8-80-128,0.3515249490737915,0.8356940507888794,51709,210.152,0.3515249490737915,0.4489668309688568,0.3969818949699402,0.32854458689689636,0.30247390270233154,0.8356940507888794,0.7577903866767883,0.7974504232406616,0.8597733974456787,0.8725212216377258
_8-80-160,0.1923964574933052,0.9212464570999146,62045,251.496,0.1923964574933052,0.2868974804878235,0.2225545197725296,0.17609331011772156,0.16476397216320038,0.9212464570999146,0.876770555973053,0.8980169892311096,0.9348441958427429,0.9320113062858582
_8-96-64,0.2319110631942749,0.9113314390182495,37197,152.104,0.2319110631942749,0.29483845829963684,0.26242440938949585,0.2154824137687683,0.22755590081214905,0.9113314390182495,0.8881019949913025,0.9093484282493591,0.9036827087402344,0.9150141477584839
_8-96-80,0.27453412115573883,0.8807365536689759,43389,176.872,0.27453412115573883,0.4529087543487549,0.29794028401374817,0.26766785979270935,0.17426857352256775,0.8807365536689759,0.7705382704734802,0.8682719469070435,0.879603385925293,0.9490085244178772
_8-96-96,0.2718711316585541,0.8847025394439697,49581,201.64,0.2718711316585541,0.381647527217865,0.26337042450904846,0.2682344913482666,0.2247607707977295,0.8847025394439697,0.8186968564987183,0.899433434009552,0.8725212216377258,0.9150141477584839
_8-96-128,0.24051924049854279,0.9022662878036499,61965,251.176,0.24051924049854279,0.33828243613243103,0.2587847113609314,0.24936960637569427,0.21021142601966858,0.9022662878036499,0.8498583436012268,0.8951841592788696,0.8923512697219849,0.922096312046051
_8-96-160,0.4557178199291229,0.7725212335586548,74349,300.712,0.4557178199291229,0.5401453971862793,0.481253057718277,0.4361654818058014,0.40177762508392334,0.7725212335586548,0.7351274490356445,0.723796010017395,0.7691218256950378,0.8130311369895935
_12-12-12,0.43860883116722105,0.7648725271224975,3713,18.228,0.43860883116722105,0.5016085505485535,0.47145509719848633,0.461139053106308,0.3844226598739624,0.7648725271224975,0.7110481858253479,0.7337110638618469,0.7294617295265198,0.8257790207862854
_12-12-16,0.41054723858833314,0.7963172793388367,4493,21.348,0.41054723858833314,0.43502020835876465,0.4309775233268738,0.42573022842407227,0.388597309589386,0.7963172793388367,0.7577903866767883,0.8087818622589111,0.756373941898346,0.821529746055603
_12-12-24,0.39355574250221254,0.8076487302780151,6053,27.588,0.39355574250221254,0.41388946771621704,0.3883226215839386,0.4035293459892273,0.3866223990917206,0.8076487302780151,0.7875354290008545,0.8130311369895935,0.8045325875282288,0.8116147518157959
_12-12-32,0.4282705783843994,0.7898016929626465,7613,33.828,0.4282705783843994,0.5034024119377136,0.40882593393325806,0.41405168175697327,0.40508583188056946,0.7898016929626465,0.7252124547958374,0.7832860946655273,0.7903682589530945,0.8101983070373535
_12-12-64,0.45053477883338927,0.7745042562484741,13853,58.788,0.45053477883338927,0.49674585461616516,0.49367189407348633,0.4311477541923523,0.43974819779396057,0.7745042562484741,0.7549574971199036,0.7407932281494141,0.7903682589530945,0.776203989982605
_12-12-80,0.4511026680469513,0.7691218256950378,16973,71.268,0.4511026680469513,0.506597101688385,0.5367540717124939,0.4070104658603668,0.4470086097717285,0.7691218256950378,0.7407932281494141,0.7167139053344727,0.7832860946655273,0.7818697094917297
_12-12-96,0.37987700700759885,0.8167138934135437,20093,83.748,0.37987700700759885,0.4209457337856293,0.400662899017334,0.40436047315597534,0.3425315022468567,0.8167138934135437,0.7875354290008545,0.7946175932884216,0.7932011485099792,0.8484418988227844
_12-12-128,0.4448483228683472,0.77790367603302,26333,108.708,0.4448483228683472,0.506048321723938,0.4710700809955597,0.45198702812194824,0.4005429148674011,0.77790367603302,0.723796010017395,0.7549574971199036,0.776203989982605,0.8314447402954102
_12-12-160,0.4276357412338257,0.7821529746055603,32573,133.668,0.4276357412338257,0.4876742362976074,0.4288514256477356,0.4075112044811249,0.41372039914131165,0.7821529746055603,0.7521246671676636,0.7861189842224121,0.7889518141746521,0.7861189842224121
_12-16-12,0.4359675645828247,0.7674220919609069,4917,22.984,0.4359675645828247,0.5132027864456177,0.4551889896392822,0.4007193446159363,0.40763336420059204,0.7674220919609069,0.7138810157775879,0.7393767833709717,0.801699697971344,0.798866868019104
_12-16-16,0.4673740565776825,0.7147308707237243,5953,27.128,0.4673740565776825,0.5181933045387268,0.4485665261745453,0.47724518179893494,0.4522436559200287,0.7147308707237243,0.6940509676933289,0.723796010017395,0.7280453443527222,0.7067988514900208
_12-16-24,0.40754075050354005,0.7943342685699463,8025,35.416,0.40754075050354005,0.444391667842865,0.42896217107772827,0.42497578263282776,0.40172281861305237,0.7943342685699463,0.7549574971199036,0.7889518141746521,0.7733711004257202,0.8101983070373535
_12-16-32,0.438035249710083,0.7507082104682923,10097,43.704,0.438035249710083,0.4482225179672241,0.46957942843437195,0.4441210925579071,0.4414424002170563,0.7507082104682923,0.7577903866767883,0.7294617295265198,0.723796010017395,0.7167139053344727
_12-16-64,0.3374025046825409,0.8586402177810669,18385,76.856,0.3374025046825409,0.3983519971370697,0.35115307569503784,0.31296488642692566,0.3374871015548706,0.8586402177810669,0.8314447402954102,0.8371104598045349,0.8739376664161682,0.8640226721763611
_12-16-80,0.40164875984191895,0.8059489965438843,22529,93.432,0.40164875984191895,0.5036928653717041,0.42519691586494446,0.3896453380584717,0.38118410110473633,0.8059489965438843,0.723796010017395,0.7847025394439697,0.8201133012771606,0.8257790207862854
_12-16-96,0.3183523386716843,0.8566572308540344,26673,110.008,0.3183523386716843,0.4359655976295471,0.36397644877433777,0.3108799159526825,0.25604936480522156,0.8566572308540344,0.7903682589530945,0.854107677936554,0.8399433493614197,0.8810198307037354
_12-16-128,0.41885250210762026,0.7906515598297119,34961,143.16,0.41885250210762026,0.4667612612247467,0.4499293863773346,0.4070066809654236,0.3915121257305145,0.7906515598297119,0.7507082223892212,0.7691218256950378,0.7974504232406616,0.8172804713249207
_12-16-160,0.4676539719104767,0.7617563724517822,43249,176.312,0.4676539719104767,0.5356457233428955,0.5053319334983826,0.5173130035400391,0.3872288167476654,0.7617563724517822,0.7167139053344727,0.723796010017395,0.7677053809165955,0.7875354290008545
