,Conv1,Conv2,Dense,Loss,Accuracy,Model Params,tflite Size,Loss_1,Loss_2,Loss_3,Loss_4,Loss_5,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5
113,16,24,24,0.2976970136165618,0.876770555973053,20805,86.544,0.2976970136165618,0.3334026932716369,0.3242970407009125,0.269028753042221,0.2973636388778686,0.876770555973053,0.854107677936554,0.8824362754821777,0.8951841592788696,0.8640226721763611
114,16,24,32,0.3263409495353698,0.8572237968444825,25629,105.84,0.3263409495353698,0.3707048594951629,0.3682008981704712,0.3432774543762207,0.286967396736145,0.8572237968444825,0.8399433493614197,0.8229461908340454,0.8356940746307373,0.8909348249435425
115,16,24,64,0.3272039234638214,0.8487252116203308,44925,183.024,0.3272039234638214,0.3990512192249298,0.3402983546257019,0.32266566157341,0.3266757726669311,0.8487252116203308,0.8073654174804688,0.8342776298522949,0.8413597941398621,0.8583569526672363
116,16,24,80,0.3088724493980407,0.856940507888794,54573,221.616,0.3088724493980407,0.4579001069068908,0.2800567150115967,0.3033419549465179,0.2713291645050049,0.856940507888794,0.7464589476585388,0.8668555021286011,0.8583569526672363,0.8866855502128601
117,16,24,96,0.1599713042378425,0.9433427691459656,64221,260.208,0.1599713042378425,0.2491241544485092,0.1527557671070099,0.17143315076828,0.1367795169353485,0.9433427691459656,0.9206798672676086,0.9490085244178772,0.9263455867767334,0.9461756348609924
118,16,24,128,0.458870255947113,0.7637393712997437,83517,337.392,0.458870255947113,0.5145722031593323,0.4616530537605285,0.4986860454082489,0.4609270691871643,0.7637393712997437,0.7280453443527222,0.7379603385925293,0.7662889361381531,0.7719546556472778
119,16,24,160,0.4548227310180664,0.7577903628349304,102813,414.576,0.4548227310180664,0.4689177572727203,0.4604206085205078,0.5363140106201172,0.4411366581916809,0.7577903628349304,0.7393767833709717,0.7351274490356445,0.7252124547958374,0.7634561061859131
120,16,32,16,0.3468882024288177,0.8589235067367553,21237,88.272,0.3468882024288177,0.3800602257251739,0.3806564807891845,0.3707779943943023,0.3236846327781677,0.8589235067367553,0.8328611850738525,0.8611897826194763,0.854107677936554,0.8725212216377258
121,16,32,24,0.3768835425376892,0.8002832889556885,27661,113.968,0.3768835425376892,0.461216002702713,0.4035519957542419,0.3936159908771515,0.330782413482666,0.8002832889556885,0.720963180065155,0.7181302905082703,0.8229461908340454,0.8597733974456787
122,16,32,32,0.3672009527683258,0.832577908039093,34085,139.664,0.3672009527683258,0.4306423664093017,0.4577969014644623,0.3378475606441498,0.3239721357822418,0.832577908039093,0.8172804713249207,0.7450425028800964,0.856940507888794,0.8611897826194763
